seqID,marker,cluster_id,cluster_probability,predicted_otu,classification_type,identity,pred_domain,pred_kingdom,pred_phylum,pred_class,pred_order,pred_family,pred_genus,pred_species,taxID,species_name,full_taxonomy,gt_domain,gt_kingdom,gt_phylum,gt_class,gt_order,gt_family,gt_genus,gt_species,has_taxonomy,has_ground_truth
MG988600.1,SSU,251,0.81464994,Heteropsylla texana,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Heteropsylla,Heteropsylla texana,2218057,Neophyllura bicolor,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Liviidae;Neophyllura;Neophyllura bicolor,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Neophyllura,Neophyllura bicolor,True,True
MG988599.1,SSU,351,1.0,Mesohomotoma hibisci,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Mesohomotoma,Mesohomotoma hibisci,399243,Mesohomotoma hibisci,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Carsidaridae;Carsidarinae;Mesohomotoma;Mesohomotoma hibisci,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Mesohomotoma,Mesohomotoma hibisci,True,True
MG988596.1,SSU,764,1.0,Homotoma ficus,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Homotoma,Homotoma ficus,2218120,Homotoma ficus,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Carsidaridae;Homotominae;Homotoma;Homotoma ficus,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Homotoma,Homotoma ficus,True,True
MG988595.1,SSU,251,1.0,Heteropsylla texana,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Heteropsylla,Heteropsylla texana,121850,Heteropsylla texana,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Psyllidae;Ciriacreminae;Heteropsylla;Heteropsylla texana,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Heteropsylla,Heteropsylla texana,True,True
MG988594.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,121847,Glycaspis brimblecombei,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Aphalaridae;Glycaspis;Glycaspis brimblecombei,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Glycaspis,Glycaspis brimblecombei,True,True
MG988593.1,SSU,479,1.0,Euphyllura phillyreae,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Euphyllura,Euphyllura phillyreae,2008460,Euphyllura phillyreae,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Liviidae;Euphyllura;Euphyllura phillyreae,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Euphyllura,Euphyllura phillyreae,True,True
MG988591.1,SSU,251,0.9225993,Heteropsylla texana,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Heteropsylla,Heteropsylla texana,2218043,Diclidophlebia eastopi,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Liviidae;Diclidophlebia;Diclidophlebia eastopi,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Diclidophlebia,Diclidophlebia eastopi,True,True
MG988590.1,SSU,466,1.0,Ctenarytaina eucalypti,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Ctenarytaina,Ctenarytaina eucalypti,121841,Ctenarytaina eucalypti,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Aphalaridae;Ctenarytaina;Ctenarytaina eucalypti,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Ctenarytaina,Ctenarytaina eucalypti,True,True
MG988589.1,SSU,759,1.0,Craspedolepta nebulosa,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Craspedolepta,Craspedolepta nebulosa,2218039,Craspedolepta nebulosa,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Aphalaridae;Craspedolepta;Craspedolepta nebulosa,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Craspedolepta,Craspedolepta nebulosa,True,True
MG988587.1,SSU,66,1.0,Calophya schini,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Calophya,Calophya schini,121824,Calophya schini,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Calophyidae;Calophya;Calophya schini,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Calophya,Calophya schini,True,True
MG988586.1,SSU,287,1.0,Cacopsylla saliceti,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Cacopsylla,Cacopsylla saliceti,2218021,Cacopsylla saliceti,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Psyllidae;Psyllinae;Cacopsylla;Cacopsylla saliceti,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Cacopsylla,Cacopsylla saliceti,True,True
MG988584.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,121834,Boreioglycaspis melaleucae,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Aphalaridae;Boreioglycaspis;Boreioglycaspis melaleucae,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Boreioglycaspis,Boreioglycaspis melaleucae,True,True
MG988581.1,SSU,239,0.98695517,Lamyctes emarginatus,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,,,,Lamyctes,Lamyctes emarginatus,178948,Arytainilla spartiophila,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Psyllidae;Psyllinae;Arytainilla;Arytainilla spartiophila,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Arytainilla,Arytainilla spartiophila,True,True
MG988580.1,SSU,764,1.0,Homotoma ficus,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Homotoma,Homotoma ficus,2218086,Aphalaroida inermis,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Psyllidae;Aphalaroidinae;Aphalaroida;Aphalaroida inermis,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Aphalaroida,Aphalaroida inermis,True,True
MG988579.1,SSU,759,1.0,Craspedolepta nebulosa,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Craspedolepta,Craspedolepta nebulosa,2218012,Aphalara calthae,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Aphalaridae;Aphalara;Aphalara calthae,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Aphalara,Aphalara calthae,True,True
MG988578.1,SSU,759,0.9137012,Craspedolepta nebulosa,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Craspedolepta,Craspedolepta nebulosa,121830,Acizzia uncatoides,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Psyllidae;Acizziinae;Acizzia;Acizzia uncatoides,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Acizzia,Acizzia uncatoides,True,True
MG896723.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,2213234,Tropidoatractus acuminatus,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Armophorea;Metopida;Tropidoatractidae;Tropidoatractus;Tropidoatractus acuminatus,Eukaryota,,Sar,Intramacronucleata,,,Tropidoatractus,Tropidoatractus acuminatus,True,True
MG896717.1,SSU,850,0.54572606,Aphanostoma sanguineum,known_species,100.0,Eukaryota,Opisthokonta,,,,,Pseudactinoposthia,Aphanostoma sanguineum,2213236,Tropidoatractus spinosus,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Armophorea;Metopida;Tropidoatractidae;Tropidoatractus;Tropidoatractus spinosus,Eukaryota,,Sar,Intramacronucleata,,,Tropidoatractus,Tropidoatractus spinosus,True,True
MG896712.1,SSU,913,1.0,Tropidoatractus levanderi,known_species,100.0,Eukaryota,,Sar,Intramacronucleata,,,Tropidoatractus,Tropidoatractus levanderi,2213235,Tropidoatractus levanderi,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Armophorea;Metopida;Tropidoatractidae;Tropidoatractus;Tropidoatractus levanderi,Eukaryota,,Sar,Intramacronucleata,,,Tropidoatractus,Tropidoatractus levanderi,True,True
MG896710.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,2213239,Palmarella salina,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Armophorea;Metopida;Tropidoatractidae;Palmarella;Palmarella salina,Eukaryota,,Sar,Intramacronucleata,,,Palmarella,Palmarella salina,True,True
JF699600.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,1131526,Sphaeromopsis serriguberna,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Flabellifera;Sphaeromatidae;Sphaeromopsis;Sphaeromopsis serriguberna,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Sphaeromopsis,Sphaeromopsis serriguberna,True,True
JF699583.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,1131518,Paradella garsonorum,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Flabellifera;Sphaeromatidae;Paradella;Paradella garsonorum,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Paradella,Paradella garsonorum,True,True
JF699578.1,SSU,124,0.83371365,Polyphemus pediculus,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,,,,Polyphemus,Polyphemus pediculus,1131515,Paracassidinopsis perlata,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Flabellifera;Sphaeromatidae;Paracassidinopsis;Paracassidinopsis perlata,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Paracassidinopsis,Paracassidinopsis perlata,True,True
JF699573.1,SSU,14,1.0,Neonaesa rugosa,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Neonaesa,Neonaesa rugosa,1131513,Neonaesa rugosa,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Flabellifera;Sphaeromatidae;Neonaesa;Neonaesa rugosa,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Neonaesa,Neonaesa rugosa,True,True
JF699552.1,SSU,25,1.0,Exosphaeroma varicolor,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Exosphaeroma,Exosphaeroma varicolor,1131506,Exosphaeroma varicolor,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Flabellifera;Sphaeromatidae;Exosphaeroma;Exosphaeroma varicolor,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Exosphaeroma,Exosphaeroma varicolor,True,True
JF699536.1,SSU,138,1.0,Idotea baltica,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Idotea,Idotea baltica,1131502,Dynamenoides decima,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Flabellifera;Sphaeromatidae;Dynamenoides;Dynamenoides decima,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Dynamenoides,Dynamenoides decima,True,True
JF699529.1,SSU,185,1.0,Dynamene curalii,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Dynamene,Dynamene curalii,1131499,Dynamene curalii,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Flabellifera;Sphaeromatidae;Dynamene;Dynamene curalii,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Dynamene,Dynamene curalii,True,True
MG029554.1,SSU,416,0.58603317,Madabolus maximus,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,,,,Madabolus,Madabolus maximus,2184876,Hemicriconemoides paracamelliae,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Tylenchomorpha;Criconematoidea;Criconematidae;Criconematinae;Hemicriconemoides;Hemicriconemoides paracamelliae,Eukaryota,Opisthokonta,Nematoda,,,,Hemicriconemoides,Hemicriconemoides paracamelliae,True,True
MF460824.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,2019530,Isodermus planus,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Prosorrhyncha;Heteroptera;Euheteroptera;Neoheteroptera;Panheteroptera;Pentatomomorpha;Aradoidea;Aradidae;Aradidae incertae sedis;Isodermus;Isodermus planus,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Isodermus,Isodermus planus,True,True
KY981988.1,SSU,1700,1.0,Centruroides exilicauda,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Centruroides,Centruroides exilicauda,6879,Centruroides exilicauda,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Scorpiones;Buthida;Buthoidea;Buthidae;Centruroides;Centruroides exilicauda,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Centruroides,Centruroides exilicauda,True,True
MG594296.1,SSU,1085,1.0,Spinitectus macrospinosus,known_species,100.0,Eukaryota,Opisthokonta,Nematoda,,,,Spinitectus,Spinitectus macrospinosus,2057009,Spinitectus macrospinosus,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Spiruroidea;Rhabdochonidae;Spinitectus;Spinitectus macrospinosus,Eukaryota,Opisthokonta,Nematoda,,,,Spinitectus,Spinitectus macrospinosus,True,True
MG264147.1,SSU,1804,1.0,Paraenchelys terricola,known_species,100.0,Eukaryota,,Sar,Intramacronucleata,,,Paraenchelys,Paraenchelys terricola,2049014,Paraenchelys terricola,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Litostomatea;Haptoria;Haptorida;Pseudoholophryidae;Paraenchelys;Paraenchelys terricola,Eukaryota,,Sar,Intramacronucleata,,,Paraenchelys,Paraenchelys terricola,True,True
AB936289.1,SSU,1610,1.0,Chlorococcum lobatum,known_species,100.0,Eukaryota,Viridiplantae,Chlorophyta,,,,Chlorococcum,Chlorococcum lobatum,1502115,Chlorococcum lobatum,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;CS clade;Chlamydomonadales;Chlorococcaceae;Chlorococcum;Chlorococcum lobatum,Eukaryota,Viridiplantae,Chlorophyta,,,,Chlorococcum,Chlorococcum lobatum,True,True
MH348778.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,2203274,Pseudoklossia pectinis,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Marosporida;Aggregatidae;Pseudoklossia;Pseudoklossia pectinis,Eukaryota,,Sar,,,,Pseudoklossia,Pseudoklossia pectinis,True,True
MH348777.1,SSU,22,1.0,Merocystis kathae,known_species,100.0,Eukaryota,,Sar,,,,Merocystis,Merocystis kathae,2203272,Merocystis kathae,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Marosporida;Aggregatidae;Merocystis;Merocystis kathae,Eukaryota,,Sar,,,,Merocystis,Merocystis kathae,True,True
MH198179.1,SSU,762,1.0,Damaeobelba minutissima,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Damaeobelba,Damaeobelba minutissima,2202868,Damaeobelba minutissima,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Oribatida;Brachypylina;Damaeoidea;Damaeidae;Damaeobelba;Damaeobelba minutissima,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Damaeobelba,Damaeobelba minutissima,True,True
MF426933.1,SSU,1359,1.0,Serrasentis sagittifer,known_species,100.0,Eukaryota,Opisthokonta,,,,,Serrasentis,Serrasentis sagittifer,1202473,Serrasentis sagittifer,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Acanthocephala;Palaeacanthocephala;Echinorhynchida;Rhadinorhynchidae;Serrasentis;Serrasentis sagittifer,Eukaryota,Opisthokonta,,,,,Serrasentis,Serrasentis sagittifer,True,True
EU544348.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,529595,Sogerianthe sessiflora,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;Santalales;Loranthaceae;Lorantheae;Amyeminae;Sogerianthe;Sogerianthe sessiliflora,Eukaryota,Viridiplantae,Streptophyta,,,,Sogerianthe,Sogerianthe sessiflora,True,True
EU544332.1,SSU,1676,1.0,Loxanthera speciosa,known_species,100.0,Eukaryota,Viridiplantae,Streptophyta,,,,Loxanthera,Loxanthera speciosa,529579,Loxanthera speciosa,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;Santalales;Loranthaceae;Elytrantheae;Loxanthera;Loxanthera speciosa,Eukaryota,Viridiplantae,Streptophyta,,,,Loxanthera,Loxanthera speciosa,True,True
EU544321.1,SSU,1064,0.5293462,Echinoderes lanceolatus,known_species,100.0,Eukaryota,Opisthokonta,,,,,Echinoderes,Echinoderes lanceolatus,364664,Cecarria obtusifolia,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;Santalales;Loranthaceae;Lorantheae;Loranthinae;Cecarria;Cecarria obtusifolia,Eukaryota,Viridiplantae,Streptophyta,,,,Cecarria,Cecarria obtusifolia,True,True
MH337254.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,2200732,Pogaina paranygulgus,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Rhabditophora;Rhabdocoela;Dalyellioida;Provorticidae;Pogaina;Pogaina paranygulgus,Eukaryota,Opisthokonta,Platyhelminthes,,,,Pogaina,Pogaina paranygulgus,True,True
AB665575.1,SSU,1839,1.0,Cladophora vagabunda,known_species,100.0,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,,,Cladophora,Cladophora vagabunda,34136,Cladophora vagabunda,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Ulvophyceae;TCBD clade;Cladophorales;Cladophoraceae;Cladophora;Cladophora vagabunda,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,,,Cladophora,Cladophora vagabunda,True,True
AF387159.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,52679,Cylindrocapsa geminella,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;CS clade;Sphaeropleales;Cylindrocapsaceae;Cylindrocapsa;Cylindrocapsa geminella,Eukaryota,Viridiplantae,Chlorophyta,,,,Cylindrocapsa,Cylindrocapsa geminella,True,True
AF387155.1,SSU,1453,1.0,Radiofilum conjunctivum,known_species,100.0,Eukaryota,Viridiplantae,Chlorophyta,,,,Radiofilum,Radiofilum conjunctivum,163323,Radiofilum conjunctivum,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Chlorophyceae;CS clade;Sphaeropleales;Sphaeropleaceae;Radiofilum;Radiofilum conjunctivum,Eukaryota,Viridiplantae,Chlorophyta,,,,Radiofilum,Radiofilum conjunctivum,True,True
AF387154.1,SSU,1186,1.0,Eremosphaera viridis,known_species,100.0,Eukaryota,Viridiplantae,Chlorophyta,,,,Eremosphaera,Eremosphaera viridis,163307,Eremosphaera viridis,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Trebouxiophyceae;Chlorellales;Oocystaceae;Eremosphaeroideae;Eremosphaera;Eremosphaera viridis,Eukaryota,Viridiplantae,Chlorophyta,,,,Eremosphaera,Eremosphaera viridis,True,True
AF387150.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,163309,Geminella minor,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Trebouxiophyceae;Chlorellales;Chlorellaceae;Geminella;Geminella minor,Eukaryota,Viridiplantae,Chlorophyta,,,,Geminella,Geminella minor,True,True
KX866811.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,458488,Chelonaplysilla erecta,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Keratosa;Dendroceratida;Darwinellidae;Chelonaplysilla;Chelonaplysilla erecta,Eukaryota,Opisthokonta,Porifera,,,,Chelonaplysilla,Chelonaplysilla erecta,True,True
KX866795.1,SSU,645,1.0,Cliona viridis,known_species,100.0,Eukaryota,Opisthokonta,Porifera,,,,Cliona,Cliona viridis,76786,Cliona viridis,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Clionaida;Clionaidae;Cliona;Cliona viridis,Eukaryota,Opisthokonta,Porifera,,,,Cliona,Cliona viridis,True,True
KX622161.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,68564,Petrosia ficiformis,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Haplosclerida;Petrosiidae;Petrosia;Petrosia ficiformis,Eukaryota,Opisthokonta,Porifera,,,,Petrosia,Petrosia ficiformis,True,True
